match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only,round_id,name,slug,cup_round_type,season_id,year,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type,city,stadium,venue_id,country
11673958,,1,4,JgdbspFNb,2,3.0,1696094700.0,tirante-barrios-vera,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11673962,,4,,pFNbsHbwc,1,3.0,1696176000.0,heide-tirante,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11673963,,,,fTxsHbwc,1,3.0,1696087800.0,heide-jorda-sanchis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11673993,,,Q,axvsGQHb,2,3.0,1696154400.0,ajdukovic-roca-batalla,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674000,,Q,WC,QjHshlKb,2,3.0,1696086000.0,crawford-escobedo,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674008,,,,PzLsIXxc,1,3.0,1696092300.0,shelbayh-peniston,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674011,,WC,,hlKbsIXxc,2,3.0,1696172400.0,shelbayh-crawford,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674026,,1,,oNfsaqVb,2,3.0,1696088700.0,machac-gasquet,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674032,,,8,aqVbsZzdc,1,3.0,1696171500.0,draper-machac,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674034,,8,2,ZzdcsccJc,1,3.0,1696081200.0,van-assche-draper,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674074,1,8,2,JWrstOB,1,3.0,1696129200.0,kudermetova-pegula,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674103,1,,3,XrIsFupb,1,3.0,1696078500.0,bublik-ofner,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674105,1,5,WC,PqDbseDDc,1,3.0,1696239000.0,mededovic-korda,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674110,2,4,WC,RUbcseDDc,2,3.0,1696140000.0,mededovic-lehecka,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674111,2,,6,UrgsXrI,2,3.0,1696250400.0,ofner-mannarino,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674112,1,6,Q,UrgsjdFb,1,3.0,1696152600.0,rodionov-mannarino,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674113,2,,,YzrsXrI,2,3.0,1696161600.0,ofner-thiem,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11674114,2,1,5,tXYsPqDb,2,3.0,1696145400.0,korda-griekspoor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675440,2,,2,evpbsNhzb,2,3.0,1696221000.0,humbert-medvedev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675443,1,8,,nTxsHRK,1,3.0,1696230000.0,jarry-zverev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675444,1,1,,pvecsytkc,1,3.0,1696147200.0,alcaraz-musetti,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675445,1,,6,GwjsvGHb,2,3.0,1696251600.0,sinner-dimitrov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675446,1,3,,Gwjsvlnc,2,3.0,1696159800.0,rune-dimitrov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675447,1,1,7,YJXsytkc,1,3.0,1696245900.0,alcaraz-ruud,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675448,1,,7,YJXsWOrb,2,3.0,1696140900.0,etcheverry-ruud,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675449,2,8,,nTxsgZmb,1,3.0,1696089300.0,davidovich-fokina-zverev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675450,2,,6,GKysvGHb,2,3.0,1696152900.0,sinner-nishioka,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11686269,2,,,UuqsonL,1,3.0,1696221000.0,kalinina-saville,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11686272,1,,,OVqsyVv,1,3.0,1696236600.0,brady-linette,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11686275,,,13,WOAsZFjc,2,3.0,1696227000.0,noskova-ostapenko,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11686276,2,12,,LWhsJwbb,2,3.0,1696239000.0,samsonova-kvitova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11686281,2,WC,,iJCsWuBb,2,3.0,1696227600.0,yuan-paolini,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11688311,,,4,jQRbstMgd,,3.0,1696086000.0,razeghi-smith,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11696863,2,5,8,IaJbsBbhc,2,3.0,1696075200.0,bouquier-glinka,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697105,2,14,,rFhsOVq,2,3.0,1696079100.0,linette-azarenka,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697107,1,1,WC,kOLsefnb,1,3.0,1696142100.0,sabalenka-kenin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697108,1,,15,cUysiJC,1,3.0,1696129200.0,paolini-haddad-maia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697110,2,,5,mBzbsJfdc,2,3.0,1696246200.0,zheng-rybakina,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697112,2,WC,,ZFjcspczc,2,3.0,1696158300.0,tian-noskova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697113,1,12,WC,LWhsYmOb,1,3.0,1696165500.0,wang-xiy-kvitova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697117,2,,,JwbbskDNb,2,3.0,1696134600.0,parks-samsonova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697118,1,,,XWhswDxc,1,3.0,1696149900.0,fruhvirtova-rus,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697119,1,,WC,YphsGYPb,1,3.0,1696221000.0,wang-xin-zvonareva,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697120,1,,11,kqKsvXcb,2,3.0,1696226400.0,kasatkina-sherif,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697121,1,,,rwosJlt,1,3.0,1696215600.0,zhu-tsurenko,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697122,2,,3,jfCsIZfc,2,3.0,1696239600.0,gauff-alexandrova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697123,1,8,,onLseglb,2,3.0,1696134600.0,vondrousova-kalinina,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697124,2,,,UuqsBXD,1,3.0,1696134600.0,siniakova-saville,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697126,1,,2,RhzsxpQb,2,3.0,1696219500.0,swiatek-sorribes-tormo,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697152,2,,5,WlKbspbod,1,3.0,1696081500.0,sonobe-sleeth,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697216,1,7,,hgYbsRacd,2,3.0,1696079700.0,gentzsch-stewart,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697223,2,Q,,hRHbsbQqc,1,3.0,1696090200.0,biolay-urrutia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697237,2,,,CMOsGlIc,2,3.0,1696078800.0,ambrogi-kestelboim,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697262,1,Q,2,oZCsnDuc,1,3.0,1696086000.0,sierra-estable,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697278,2,Q,5,zGHbsgcIb,1,3.0,1696101300.0,grant-angele,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697304,1,3,2,jYhcspVuc,2,3.0,1696086900.0,bueno-guillen-meza,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697306,2,4,2,nvObsjQRb,2,3.0,1696091400.0,smith-draxl,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697309,2,1,4,hxIsuRuc,2,3.0,1696078200.0,janicijevic-capurro-taborda,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697316,2,1,WC,MCvsooTb,1,3.0,1696104000.0,kessler-townsend,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698042,2,4,8,EhMsOyU,2,3.0,1696096500.0,zarazua-shymanovich,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698055,1,1,2,auBbsJDwc,2,3.0,1696122000.0,yang-ma,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698354,,,,VXedsZHmd,1,3.0,1696118400.0,braund-viiala,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698355,,,,JMgcsvjdd,2,3.0,1696118400.0,dunn-birrell,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698356,,,,BWKdspnWd,1,3.0,1696127400.0,richards-bagaric,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698357,,,,FoldsgRHd,1,3.0,1696118400.0,elia-wilkinson,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698358,,,,pwIbsvwud,2,3.0,1696127400.0,babakian-omalley,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698359,,,,aCtbsMdud,1,3.0,1696118400.0,decruy-xiangruyi-ji,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698360,,,,TKUbsREEd,2,3.0,1696127400.0,jesser-bayldon,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698361,,,,bPGcsnHFd,1,3.0,1696118400.0,korhonen-nelson,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698362,,,,pdlcsiPGc,1,3.0,1696118400.0,scheers-karpinski,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698363,,,WC,NjvdscrXd,1,3.0,1696118400.0,weeks-callaghan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698364,,,WC,uHEdsdrXd,1,3.0,1696118400.0,asquith-vickery,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698365,,,,dXXbsfNjc,2,3.0,1696131000.0,prescott-poulos,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698366,,,,MFFdsnnWd,2,3.0,1696118400.0,kose-lewindon,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698367,,,,FlfdsvnWd,2,3.0,1696127400.0,thorogood-marinkov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698368,,,,Gamdsnwud,1,3.0,1696118400.0,spencer-yan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698369,,,,mwudsHUHd,2,3.0,1696127400.0,shetty-santitto,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698370,,,,RUBbsGrbd,1,3.0,1696118400.0,rowing-dumitru,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698371,,,,ffZbsWbad,2,3.0,1696118400.0,stallworthy-fry,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698372,,,,lHFdserXd,1,3.0,1696127400.0,chan-meafua-uren,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698373,,,,fULcscpnd,2,3.0,1696127400.0,adam-gedge-howe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698374,,,,DMgcsfrXd,1,3.0,1696127400.0,coetzee-oster,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698375,,,,fPGcsBQZc,2,3.0,1696118400.0,inoue-power,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698376,,,,PFFdsirXd,2,3.0,1696118400.0,pese-sato,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698377,,,,HaEbsgrXd,2,3.0,1696118400.0,shamim-chikaraishi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698378,,,,KgndshrXd,2,3.0,1696118400.0,cetinay-kim,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698379,2,6,2,EPqsjgKb,2,3.0,1696143600.0,parker-safwat,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698395,1,Q,Q,ziAsaAD,2,3.0,1696156500.0,frech-boulter,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698397,2,10,Q,YhzsBKmd,2,3.0,1696159500.0,andreeva-krejcikova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698398,2,Q,13,WOAsypLb,2,3.0,1696148400.0,lys-ostapenko,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698399,1,Q,7,bixsmvzc,2,3.0,1696227300.0,krueger-jabeur,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698400,2,,Q,VktsnjR,2,3.0,1696140900.0,bouzkova-putintseva,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698401,1,Q,9,OWqsIwu,2,3.0,1696221000.0,baindl-garcia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698402,1,,Q,yVvsVwec,1,3.0,1696143000.0,stearns-brady,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698403,2,1,2,HfHbspWrc,1,3.0,1696143600.0,kubka-kuzmova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698476,2,,7,hlucsxPDc,2,3.0,1696150200.0,gaubas-gill,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698477,2,3,5,AwpcsGeid,2,3.0,1696148400.0,feistel-martynov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698544,2,,2,cHHbsWMHc,2,3.0,1696143600.0,milev-tabur,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698550,2,1,3,mDnbsrjkc,2,3.0,1696154100.0,paulson-vacherot,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698683,1,3,4,jBvscOLc,1,3.0,1696149000.0,privara-cid-subervi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698735,2,6,7,UUDsMEOc,2,3.0,1696149000.0,bartunkova-hobgarski,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698749,2,,5,TeCstEBc,2,3.0,1696150800.0,ruzic-gjorcheska,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698757,1,Q,,oYcbsgMCb,1,3.0,1696154400.0,berberovic-guerrero-alvarez,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698861,1,,8,IaJbshgYb,2,3.0,1696163400.0,stewart-glinka,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698870,,,,FQjdsPutd,2,3.0,1696154400.0,shumsky-sinitsyn,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698871,,,,kBVdsZaXd,2,3.0,1696143600.0,kalenteridis-stroumpos-iliescu,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698872,,,,lcVcsIVPd,1,3.0,1696150800.0,ispasescu-jakupi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698873,,,,XwudsrGFd,1,3.0,1696150800.0,popov-vladimirov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698874,,,,czzsMkrd,2,3.0,1696147200.0,cankov-shevkedov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698875,,,,XchdsECUd,2,3.0,1696154400.0,torcq-lazarov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698876,,,,bKecsntXd,2,3.0,1696143600.0,panayotov-anand,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698877,,,,zewcsyEPd,1,3.0,1696143600.0,kirilov-aregger,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698878,,,,zOZbsdbGd,2,3.0,1696150800.0,valtsis-bueno-gil,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698879,,,,UYDdsrtGd,1,3.0,1696143600.0,marinov-kravec,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698880,,,,tpocsxqoc,1,3.0,1696143600.0,penev-kardzhiev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698881,,,,boWdsotXd,1,3.0,1696154400.0,bonev-norrman,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698882,,,,dEOsofUc,2,3.0,1696143600.0,anhelov-shandarov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698883,,,,bEOsabTd,1,3.0,1696150800.0,baychev-milushev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698884,,,,LYkdsmtXd,1,3.0,1696143600.0,tomov-krischke,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698885,,1,,ugDbsvEPd,1,3.0,1696154400.0,genchev-vanta,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698931,,8,,oYmbshqHb,2,3.0,1696152600.0,loccisano-cortegiani,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698932,,WC,13,fcYbsnQMd,2,3.0,1696149000.0,secci-liucci,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698933,,WC,11,ExIbsLfGc,2,3.0,1696156200.0,caruso-loccisano,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698934,,2,WC,kxFcsNjVd,1,3.0,1696149000.0,ricci-marino,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698935,,,14,trwbsiQMd,2,3.0,1696152600.0,mura-loccisano,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698936,,WC,16,pZLbshNHc,2,3.0,1696152600.0,cossu-floris-dessi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698937,,4,,ZWQsptXd,1,3.0,1696149000.0,bardocci-reitano,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698938,,,15,bIJbswkkd,1,3.0,1696149000.0,massacri-dellelba,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698939,,3,,eMUbsinpd,1,3.0,1696149000.0,dessi-di-natale,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698940,,6,,FLNbsNiuc,1,3.0,1696149000.0,misasi-wolfschmidt,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698941,,,12,ELhcsDkqd,1,3.0,1696152600.0,dhamne-strauch,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698942,,1,WC,GJpcsGkqc,1,3.0,1696149000.0,la-vela-bettini,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698943,,,10,pEAbsYEvc,1,3.0,1696152600.0,chvets-heger,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698944,,,9,uoysAxud,2,3.0,1696152600.0,beaven-martin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698945,,5,,UnjcsqtXd,1,3.0,1696156200.0,macchione-fossati,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698946,,7,,VCRsubpd,1,3.0,1696152600.0,sanna-ricca,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698947,,,,qyZcsrtXd,1,3.0,1696143600.0,vasudeva-massetti,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698949,,WC,,FLGcsvHQd,2,3.0,1696143600.0,clark-bukhari,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698950,,,,dLmdsAGFd,2,3.0,1696161600.0,jakubowicz-varzandeh,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698951,,WC,WC,cMgsdzUb,1,3.0,1696143600.0,bird-uzhylovsky,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698952,,5,WC,VHycsvBVd,1,3.0,1696161600.0,gnjatovic-tanner,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698953,,,9,obpdsNVqd,2,3.0,1696167000.0,kahsay-elbasanly,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698954,,1,,DfPbstjac,1,3.0,1696143600.0,agostinetto-militi-ribaldi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698955,,3,,fiBbszDYc,1,3.0,1696156200.0,vasilev-van-rensburg,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698956,,,13,fGncsFdKd,2,3.0,1696143600.0,serazhetdinov-el-feky,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698957,,,15,AlBcsmbGd,2,3.0,1696150800.0,nitschke-ibrahim,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698958,,,,LwbdstXKd,2,3.0,1696167000.0,bastiaansen-park,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698959,,2,,YKKbsmvvd,1,3.0,1696143600.0,kamchibekov-jones,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698960,,,,xkRcslXcd,1,3.0,1696161600.0,kukasian-da-silva,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698961,,,10,zEAbshLqc,2,3.0,1696143600.0,castelletti-kravchenko,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698962,,,,epJcsGrfd,2,3.0,1696150800.0,nielsen-ferrari,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698963,,,WC,KWecsPBed,,3.0,1696161600.0,dinev-tasenkov,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698964,,,,OwccslbXd,1,3.0,1696167000.0,mabrouk-tsai,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698965,,,12,JCdcsrzLc,2,3.0,1696167000.0,fumagalli-suresh,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698966,,,16,jBMsmbXd,2,3.0,1696143600.0,faizy-el-sallaly,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698967,,7,,ybkcsttXd,1,3.0,1696150800.0,strugach-sibille,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698968,,,14,fiObsZtkc,2,3.0,1696156200.0,murgett-stanke,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698969,,,,ntKbsLgMc,2,3.0,1696156200.0,gupta-troebinger,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698970,,,,hQmcsNupc,2,3.0,1696161600.0,macherla-staley,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698971,,,,KBdcsWQJc,2,3.0,1696167000.0,pino-taddia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698972,,WC,,MArdsgFPd,2,3.0,1696143600.0,bojkovic-bilardo,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698973,,WC,,WoMbsLhMc,2,3.0,1696150800.0,ridout-evseev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698974,,WC,,yQGcsDtdd,2,3.0,1696167000.0,mossur-lai,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698975,,4,,gelcsaFoc,1,3.0,1696156200.0,filar-mohanty,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698976,,,,wGUsgrfd,2,3.0,1696167000.0,leather-aleshchev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698977,,,,PmUdsoBVd,2,3.0,1696167000.0,herman-shalev-oz,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698978,,8,,hhfdslcmd,1,3.0,1696143600.0,saravanan-ianin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698979,,,11,OOvcsYVcd,2,3.0,1696156200.0,bidzinashvili-sada,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698980,,,,NKQbsUBkc,1,3.0,1696150800.0,lawrence-popyrin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698984,,6,WC,PiBbsutXd,1,3.0,1696161600.0,hermann-traversi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698985,,,10,VZwcsuEfd,2,3.0,1696161600.0,kotlikova-mayerova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698986,,WC,15,GMrcslWed,2,3.0,1696150800.0,lazic-dimic,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698987,,WC,10,FwYcsaDVd,2,3.0,1696150800.0,kirbis-michalik,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698988,,5,,QRLbsvRtc,2,3.0,1696150800.0,junge-ilges-maslenkova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698989,,3,WC,TkRsBqId,1,3.0,1696143600.0,djekic-vojcinakova,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698990,,7,,FMGbsQzjd,1,3.0,1696161600.0,bulat-sandberg,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698991,,WC,14,kLGcstlcd,2,3.0,1696150800.0,simundza-benedict,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698992,,WC,16,kWedsMbmd,1,3.0,1696143600.0,hesselmann-hausberger,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698993,,,11,qEGcsAald,2,3.0,1696150800.0,melato-odorizzi,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698994,,2,,XHzcsCItd,2,3.0,1696150800.0,jeran-basic,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698995,,,12,MbPskypd,2,3.0,1696150800.0,kremenchutskyi-panak,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698996,,8,WC,xKqcsQBkd,1,3.0,1696161600.0,ionescu-karadzhaeva,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698997,,7,,BCacskoHd,2,3.0,1696150800.0,plunger-zund,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698998,,,9,GawcsjEed,2,3.0,1696150800.0,premzl-malgiaritta,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698999,,2,WC,Ojbdscmqd,1,3.0,1696143600.0,gruber-balus,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11699000,,WC,11,XKccskfgd,2,3.0,1696143600.0,freitag-puskar,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11699001,,5,,xoIbsjvec,1,3.0,1696143600.0,krajcik-zahraj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11699002,,8,,kRHcsqldd,1,3.0,1696150800.0,podorozhnyi-kupcic,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
